idVaga,NomeVaga,Cidade,UF,Salario,QuantidadeVaga,DataPesquisa,Perfil,Descricao,DataPubli,Pesquisa
15448176,Estágio em Estatística,Rio de Janeiro,RJ,"R$ 1.000,00",1,2019-09-16,Estagiário,Deverá estar cursando: Ensino Superior em Estatística. Auxiliar em projetos de análise de dados para várias empresas. Noções em ciências de dados; big data e áreas relacionadas. Inglês intermediário para leitura. Excel Intermediário. Diferencial: Noções de Linguagem Python ou R. Noções das ferramentas Power BI. Noções de Cloud Computing. Linguagem de programação (Pascal; C; C#; Java; Node JS ou Python).,2019-08-30T20:59:59-0300,estatístico
15512725,Estágio em Estatística / Matemática,Rio de Janeiro,RJ,A Combinar,1,2019-09-16,Estagiário,Preenchimento e criação de planilhas de Excel; envio e apuração de pesquisas de opinião através de programa específico; relatórios estatístico de eficiência dos projetos; envio de mala-direta pelo Word. Excel avançado. Cursando Matemática ou Estatística.,2019-09-12T20:59:59-0300,estatístico
15279652,Estágio em Engenharias / Administração / Economia / Publicidade / Matemática / Ciências Contábeis / T.I / Estatística / Ciência da Computação,Osasco,SP,A Combinar,1,2019-09-16,Estagiário,Apoiará com análises e elaboração de relatórios; indicadores e processos. Excel avançado (ProcV; tabela dinâmica; fórmulas; gráficos; relatórios). Conhecimento em Excel. Ensino Superior em Engenharias; Administração; Economia; Publicidade; Matemática; Ciências Contábeis; T.I; Estatística; Ciência da Computação.,2019-07-26T20:59:59-0300,estatístico
15295993,Estágio em Matemática / Estatística / Economia,Osasco,SP,"De R$ 2.001,00 a R$ 3.000,00",5,2019-09-16,Estagiário,Cursando 3º ano Deverá estar cursando: Ensino Superior em Matemática; Estatística ou Economia. Atuação no departamento de ações e custódia realizando as seguintes atividades: processamento de Fundos e Carteiras Administradas. Disponibilização de relatórios em ambiente Web. Monitoramento de Liquidações (Cetip e Selic). Atendimento a Clientes e/ou Gestores. Validação de Rentabilidade de Portfólios de Investimentos. Conhecimento em pacote Office nível avançado.,2019-07-30T20:59:59-0300,estatístico
15318957,Estágio na área de Economia / Estatística,Belo Horizonte,MG,"R$ 1.000,00",1,2019-09-16,Estagiário,Deverá estar cursando: Ensino Superior na área de Estatística; Administração de Empresas ou Economia. Atualizar banco de dados e indicadores do setor comercial; atualizar as estatísticas e relatórios do setor comercial. Auxiliar a coordenação no planejamento das ações necessárias para o alcance das metas de vendas. Analisar o ciclo de vendas; identificando pontos de intervenção / melhorias para o alcance dos resultados. Atualizar os rastreamentos dos serviços prestados na empresa. Conhecimento em Excel avançado. Habilidade em raciocínio lógico.,2019-08-13T20:59:59-0300,estatístico
15398163,Estágio em Estatística / Matemática,Vinhedo,SP,A Combinar,1,2019-09-16,Estagiário,Dar suporte quantitativo ao setor de Supply Chain; através do mapeamento; análise e geração de dados estatísticos; para fundamentar a tomada de decisão; minimizando os riscos e automatizando as decisões com assertividade nos resultados. Extração de relatório do SAP; realização de carga; tratamento e extração de dados no Banco de Dados do Excel (construir modelos estatísticos). Auxiliar na análise estatística dos dados; propondo melhor modelo estatístico e ajudar na implementação de melhorias. Auxiliar na criação de indicadores de Gestão do Supply Chain e acompanhar os indicadores de gestão; realizando melhorias nas bases de dados e suportando as melhorias nos processos da área de Supply Chain. Ensino Superior em Estatística ou Matemática. Experiência com Excel (avançado) e Power Point (intermediário). Inglês intermediário a avançado.,2019-08-20T20:59:59-0300,estatístico
15421777,Estágio em Estatística / Matemática,São Paulo,SP,"De R$ 1.001,00 a R$ 2.000,00",1,2019-09-16,Estagiário,Deverá estar cursando: Ensino Superior em Estatística ou Matemática. Análise de dados de campanha publicitária. Manipulação de dados estruturados. Criação de relatórios de suporte as análises. Acompanhamento de resultados month to date. Aplicação de conceito de desvio padrão nos dados comparados.,2019-08-27T20:59:59-0300,estatístico
15176362,Programador Ciência de Dados,São Paulo,SP,A Combinar,1,2019-09-16,Profissional,Organizar e validar os dados gerados pelas área de negócio. Manipular grandes quantidades de dados; estruturados e não estruturados e transforma-lós em informações relevantes para tomado de decisão. Experiência em ferramentas de BI; preferencialmente no Power BI; Metodologias ágeis como Kanban e/ou Scrun; desenho em processo de negócio. Conhecimento de linguagens de manipulação de dados; como SQL e Python (desejável R). Estatística e Fundamentos de Machine Learning e plataforma Hadoop.,2019-08-23T20:59:59-0300,cientista de dados
15251608,Cientista de Banco de dados,Belo Horizonte,MG,"De R$ 3.001,00 a R$ 4.000,00",1,2019-09-16,Profissional,Atuar com centralização da modelagem de dados no setor de Desenvolvimento de Sistemas e Aplicativos. Terá participação em ações de manutenção de bancos de dados da Teknisa e de clientes. Elaboração de consultas no dicionário do banco de dados para administração do mesmo. Prática na utilização de ferramentas para elaboração de DER. Conhecimentos de modelagem; extração e manipulação de dados. Conhecimentos de instruções SQL (DDL e DML). Conhecimentos de programação em PL/SQL (Oracle e SQLServer). Conhecer bem os processos de Startup e Shutdown do BD e principais parâmetros de inicialização de uma instância do BD. Conhecimentos básicos de gerenciamento de usuários; roles e objetos do BD (tabelas; índices; constraints; visões; triggers; sequences etc.). Conhecimentos para execução de tarefas de manutenção preventiva e corretiva do banco de dados (análise física do BD; procedimentos de desfragmentação; geração de estatísticas; etc.).,2019-09-09T20:59:59-0300,cientista de dados
15319564,Analista de Planejamento - Ciência de Dados,Belo Horizonte,MG,"R$ 3.509,13",1,2019-09-16,Profissional,Desenvolver estudos e apresentações utilizando a inteligência de dados e aprendizado de máquinas para produzir análises detalhadas sobre comportamento de usuários; modelos estatísticos; fontes de dados e outras questões estratégicas que auxiliam na tomada de decisão dos gestores e que suporte o Planejamento Estratégico do GSCBH. Atividades específicas: Produzir modelos estatísticos e preditivos. Aplicar técnicas de agrupamento e classificação. Produzir e ou recomendar algoritmos; bem como explorar dados corporativos. Executar outras tarefas correlatas; do mesmo grau de dificuldade; mediante solicitação do superior imediato. Painéis de BI (Business Intelligenc). Estudos de viabilidade mercadológica e econômico-financeiro. Modelos estatísticos e preditivos. Ensino Superior completo em áreas afins: Estatística; Ciências Atuariais e Economia; assim como em áreas ligadas a gestão empresarial e TI. Conhecimentos: Soluções de BI - Power BI; Tableau; Qlik View e Qlik Sence; Python; C++; linguagem R; MySQL; MongoDB; Hadoop; ElasticSearch; Redis Linux; GitHub; AWS; técnicas de information Retrieval e estatística - Bayes; Markov Chain; dentre outros; sistemas de recomendação como recomendação recíproca; Multi-Armed Bandit; dentre outros.,2019-08-05T20:59:59-0300,cientista de dados
