idVaga,NomeVaga,Cidade,UF,Salario,QuantidadeVaga,DataPesquisa,Perfil,Descricao,DataPubli
15196730,Estágio em Estatística,Rio Grande,RS,A Combinar,1,2019-08-28,Estagiário,Auxiliar em Elaboração de planilhas para cálculos trabalhistas; leitura e análise de processos trabalhistas (com foco na elaboração de cálculos); elaboração de padrões de trabalho; pesquisa/atualização de índices financeiros. Ensino Superior em Estatística.,2019-07-10T20:59:59-0300
15197778,Estágio em Estatística,Rio Grande,RS,A Combinar,1,2019-08-28,Estagiário,Auxiliar em Elaboração de planilhas para cálculos trabalhistas; leitura e análise de processos trabalhistas (com foco na elaboração de cálculos); elaboração de padrões de trabalho; pesquisa/atualização de índices financeiros. Ensino Superior em Estatística.,2019-07-10T20:59:59-0300
15222821,Estágio em Estatística,São Paulo,SP,"De R$ 1.001,00 a R$ 2.000,00",1,2019-08-28,Estagiário,Deverá estar cursando: Ensino Superior em Estatística. Análise de website; medir a popularidade de um site; medir o posicionamento da concorrência.,2019-07-16T20:59:59-0300
15260935,Estágio em Estatística,Santos,SP,"Até R$ 1.000,00",1,2019-08-28,Estagiário,Deverá estar cursando: Ensino Superior em Estatística; Matemática; Administração; Ciências da Computação ou Desenvolvimento de sistemas. Analisar comparação de preços; verificar desvio padrão; definir precificação baseado em variáveis. Conhecimento em Excel avançado.,2019-07-24T20:59:59-0300
15346488,Estágio em Estatística,Rio de Janeiro,RJ,"R$ 1.000,00",1,2019-08-28,Estagiário,Deverá estar cursando: Ensino Superior cursando. Suporte aos diversos subsistemas internos (comercial; análise de mercado; financeiro; jurídico etc.). Acompanhar concorrência; sugerir melhorias de processos; dentre outras atividades pertinentes a formação. Conhecimentos em Excel.,2019-08-09T20:59:59-0300
15409545,ESTAGIÁRIO DE ESTATÍSTICA,Belo Horizonte,MG,"R$ 937,00",1,2019-08-28,Estagiário,Programa de estágio para estudantes da área de exatas . Engloba cursos como matemática; estatística; química; banco de dados; economia e física. PARA OS ESTUDANTES DE: matemática; estatística; química; banco de dados; economia e física A partir do 5° periodo,2019-08-22T20:59:59-0300
15048056,Estágio em Matemática / Estatística,Rio de Janeiro,RJ,"De R$ 1.001,00 a R$ 2.000,00",1,2019-08-28,Estagiário,Deverá estar cursando: Ensino Superior em Matemática Ajuda na ministração de aulas no ensino fundamental; médio e cursos pré-vestibulares; revisando e corrigindo atividades de pesquisas; problemas e provas.,2019-07-23T20:59:59-0300
15176761,Estágio na área de Estatística,São Paulo,SP,A Combinar,1,2019-08-28,Estagiário,Deverá estar cursando: Superior em Estatística ou Ciência da Computação. Apoiar a equipe em soluções para: Coleta de Dados; Modelagem Estatística; Pré-Processamento de dados; Análise Exploratório de Dados; Transformação dos dados; Aplicação de Algoritmos de Machine Learning; Avaliação e definição do Modelo; Dashboards; Aplicação de Algoritmos de Machine Learning/Deep Learning. Conhecimentos básicos de Python ou R; Probabilidade e Estatística; Perspectivas em Estatística; Cálculo Diferencial e Integral; Vetores e Geometria; Matemática Aplicada; Álgebra Linear; Vetores e Geometria; Estatística Descritiva; Técnicas de Amostragem; Desenvolvimento de Algoritmos; Inferência Estatística; Probabilidade; Cálculo de Diferenças Finitas; Processos Estocásticos; Análise Estatística; Análise de Regressão e Análise Bayesiana de Dados.,2019-07-05T20:59:59-0300
15219276,Estágio em Estatística - Ciências Atuariais,Fortaleza,CE,"Até R$ 1.000,00",1,2019-08-28,Estagiário,Auxiliar na produção e manutenção do arquivo eletrônico de documentação científica e técnica (catálogo de dados) de interesse da empresa; - Permutar publicações estatísticas e similares que produza com instituições de interesse da empresa; - Realizar análises e estudos de natureza econômica; social e demográfica; com base na informação estatística produzida no catálogo de dados; - Auxiliar na construção de tabelas e gráficos de forma a facilitar a leitura dos resultados obtidos; - Manter atualizado o catálogo de relatórios e encaminhar atualização para os setores interessados; - Contribuir; quando demandado; na assistência técnico-estatística aos demais setores da empresa sob orientação do supervisor do estágio. Conhecimento em Excel. Superior cursando em Estatística ou Ciências Atuariais.,2019-07-15T20:59:59-0300
15279652,Estágio em Engenharias / Administração / Economia / Publicidade / Matemática / Ciências Contábeis / T.I / Estatística / Ciência da Computação,Osasco,SP,A Combinar,1,2019-08-28,Estagiário,Apoiará com análises e elaboração de relatórios; indicadores e processos. Excel avançado (ProcV; tabela dinâmica; fórmulas; gráficos; relatórios). Conhecimento em Excel. Ensino Superior em Engenharias; Administração; Economia; Publicidade; Matemática; Ciências Contábeis; T.I; Estatística; Ciência da Computação.,2019-07-26T20:59:59-0300
